pricing_plan_id,app_id,feature
46c875c0-4158-4d5c-afaf-cf660e91fb31,d1af658c-2f86-4c13-90fd-7be50e423746,Bulk import orders
46c875c0-4158-4d5c-afaf-cf660e91fb31,d1af658c-2f86-4c13-90fd-7be50e423746,Predefined template
46c875c0-4158-4d5c-afaf-cf660e91fb31,d1af658c-2f86-4c13-90fd-7be50e423746,Create draft or paid orders
46c875c0-4158-4d5c-afaf-cf660e91fb31,d1af658c-2f86-4c13-90fd-7be50e423746,The new Pro tool!
b4da3b89-f651-4d50-a3d0-fcd90c020043,9d0b64e5-3c11-4abb-89b5-44b83fb182a3,Order tracking
b4da3b89-f651-4d50-a3d0-fcd90c020043,9d0b64e5-3c11-4abb-89b5-44b83fb182a3,Custom notification e-mails
b4da3b89-f651-4d50-a3d0-fcd90c020043,9d0b64e5-3c11-4abb-89b5-44b83fb182a3,Custom Track & Trace page
b4da3b89-f651-4d50-a3d0-fcd90c020043,9d0b64e5-3c11-4abb-89b5-44b83fb182a3,Delivery rating
b4da3b89-f651-4d50-a3d0-fcd90c020043,9d0b64e5-3c11-4abb-89b5-44b83fb182a3,Basic statistics
b4da3b89-f651-4d50-a3d0-fcd90c020043,9d0b64e5-3c11-4abb-89b5-44b83fb182a3,Markets (2 markets)
6cf86d88-14b5-409b-8a55-b02e15bea532,9d0b64e5-3c11-4abb-89b5-44b83fb182a3,All Basic functions
6cf86d88-14b5-409b-8a55-b02e15bea532,9d0b64e5-3c11-4abb-89b5-44b83fb182a3,Advanced statistics
6cf86d88-14b5-409b-8a55-b02e15bea532,9d0b64e5-3c11-4abb-89b5-44b83fb182a3,Markets unlimited
6cf86d88-14b5-409b-8a55-b02e15bea532,9d0b64e5-3c11-4abb-89b5-44b83fb182a3,Campaigns
6cf86d88-14b5-409b-8a55-b02e15bea532,9d0b64e5-3c11-4abb-89b5-44b83fb182a3,Issues
6cf86d88-14b5-409b-8a55-b02e15bea532,9d0b64e5-3c11-4abb-89b5-44b83fb182a3,Multilingual communication
07ea2555-eacd-4b20-94af-0968de15e819,9d0b64e5-3c11-4abb-89b5-44b83fb182a3,All Basic and Pro functions
07ea2555-eacd-4b20-94af-0968de15e819,9d0b64e5-3c11-4abb-89b5-44b83fb182a3,Multi store
73cc789d-884d-4957-8bbf-1b0a3a172925,56bc841d-92e2-4ca0-bb54-17bac0d499fb,インストール日から7日間、無料でアプリをお試しいただけます。
73cc789d-884d-4957-8bbf-1b0a3a172925,56bc841d-92e2-4ca0-bb54-17bac0d499fb,開発ストアの場合、無期限かつ完全無料で全機能をお試しいただけます。
17d27f8a-91ba-4352-8451-8c9d48d96f97,d3428251-07c8-4a06-ae95-17a90e0c1e84,Test Mode: Pre-launch testing.
17d27f8a-91ba-4352-8451-8c9d48d96f97,d3428251-07c8-4a06-ae95-17a90e0c1e84,Guided Setup: Hassle-free onboarding.
17d27f8a-91ba-4352-8451-8c9d48d96f97,d3428251-07c8-4a06-ae95-17a90e0c1e84,API Links: Seamless connections.
17d27f8a-91ba-4352-8451-8c9d48d96f97,d3428251-07c8-4a06-ae95-17a90e0c1e84,Priority Help: Dedicated assistance.
5748c7bb-aa2c-4c00-bab3-53c0a4fab637,d3428251-07c8-4a06-ae95-17a90e0c1e84,Retail Sync: Streamline inventory and order management for seamless retail operations.
62ba23e0-7d21-4bcb-8953-6c0963f4e994,d3428251-07c8-4a06-ae95-17a90e0c1e84,B2B Sync: Seamless B2B trade integration with MYOB Advanced
62ba23e0-7d21-4bcb-8953-6c0963f4e994,d3428251-07c8-4a06-ae95-17a90e0c1e84,Exclusive to Shopify Plus merchants
7491cec5-d5dc-4086-bf28-c64ee3eff52a,c6e41dc7-e80b-4730-a244-4de5ef76eb78,Up to 100 products/variants edits per month
7491cec5-d5dc-4086-bf28-c64ee3eff52a,c6e41dc7-e80b-4730-a244-4de5ef76eb78,Unlimited tasks
7491cec5-d5dc-4086-bf28-c64ee3eff52a,c6e41dc7-e80b-4730-a244-4de5ef76eb78,Basic bulk editing functionalities
7491cec5-d5dc-4086-bf28-c64ee3eff52a,c6e41dc7-e80b-4730-a244-4de5ef76eb78,Manual revert
7491cec5-d5dc-4086-bf28-c64ee3eff52a,c6e41dc7-e80b-4730-a244-4de5ef76eb78,Live chat support
7491cec5-d5dc-4086-bf28-c64ee3eff52a,c6e41dc7-e80b-4730-a244-4de5ef76eb78,Email support
1cfa75db-8162-4d67-afb7-fa1378149c3e,c6e41dc7-e80b-4730-a244-4de5ef76eb78,Up to 500 products/variants edits per month
1cfa75db-8162-4d67-afb7-fa1378149c3e,c6e41dc7-e80b-4730-a244-4de5ef76eb78,All features in Basic plan
